lat,lng,name
33.97175337,71.44817531, 8:13:00 AM
33.97182046,71.44799734,  8:13:00 AM
33.97196692,71.44751885,  8:13:00 AM
33.97271732,71.44778709, 8:14:00 AM
33.97478915,71.44923766,  8:14:00 AM
33.97625349,71.45019281,  8:15:00 AM
33.97650928,71.44979833, 8:15:00 AM
33.97759669,71.44667321, 8:16:00 AM
33.97759609,71.44630412,  8:16:00 AM
33.97921781,71.44507696,  8:16:00 AM
33.97948498,71.44499649,  8:16:00 AM
33.9825127,71.44685715,8:17:00 AM
33.98373823,71.447543,  8:17:00 AM
33.98456517,71.4487414,  8:17:00 AM
33.98656528,71.45131075,8:18:00 AM
33.98777473,71.45243456, 8:18:00 AM
33.99228498,71.45651813,  8:18:00 AM
33.99347203,71.45746996, 8:19:00 AM
33.99540636,71.45842504, 8:19:00 AM
33.99652817,71.46034011,  8:19:00 AM
33.99693997,71.46354959,  8:20:00 AM
33.99730582,71.46523692, 8:20:00 AM
33.99778895,71.46870296,  8:21:00 AM
33.99803324,71.4702328,  8:21:00 AM
33.99834757,71.47506201,  8:22:00 AM
33.99838823,71.47840686, 8:22:00 AM
33.99812054,71.48214785,  8:23:00 AM
33.99792131,71.48567515,8:23:00 AM
34.00057936,71.48625869,  8:24:00 AM
34.00198499,71.48588187,  8:25:00 AM
34.00194862,71.48508501,  8:25:00 AM
34.00185573,71.48523798, 8:25:00 AM
34.00154239,71.48587094, 8:26:00 AM
34.00154239,71.48587094,  8:26:00 AM
