lat,lng,MAF,Speed,GPH,LPH,KPL,CO2 Emissions,Anomaly,Prediction,Anomaly Score,Label,RF_Prediction
0.4787588187772488,2.143418994519037,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3799774480961631,0,0
0.4744860353611422,2.079247684946868,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3764752884132771,0,0
0.4801838611898231,2.0147387939386223,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3750891338083676,0,0
0.4809971666452441,1.9777849876305384,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3679510340376672,0,0
0.5045865405865423,1.5437420910034745,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3547866045301304,0,0
0.5183271839096608,1.3951997672914835,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3505476323667095,0,0
0.5381512114125294,1.252876732338549,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3556905755222745,0,0
0.5460627750013892,1.162870705000426,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3575820446337017,0,0
0.5588600308726517,0.7381786518473343,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3413648511262833,0,0
0.5357476242513377,0.5656574967710251,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3351525657775806,0,0
0.524609792767728,0.5239702469167733,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3340058218694334,0,0
0.5121922356968256,0.4325587122546877,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3271897604382738,0,0
0.4988816832988422,0.3923508156620986,-0.1516634951136471,-0.0528132592776647,-0.1066308629415637,-0.1066308629415624,-0.0596351389511092,-0.0396180024588812,0,0,-0.3233556628817936,0,0
