lat,lng,name,source_file,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,MAF,DateTime,Speed,GPH,LPH,Unnamed: 12,KPL,Unnamed: 14,CO2 Emissions,timeStamp (N),DateTime (S),altitude (N),latitude (N),longitude (N),readings (M),vehicleId (S),Time,Speed.1,note, name,rpm, name.1,rpm.1,time,speed,894,RPM,speed.1,time.1,speed.2,Unnamed: 15,Speed (km/h),Engine RPM,Unnamed: 19,name ,Unnamed: 13
33.99347203,71.45746996, 8:19:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99540636,71.45842504, 8:19:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99652817,71.46034011,  8:19:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99693997,71.46354959,  8:20:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99730582,71.46523692, 8:20:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99778895,71.46870296,  8:21:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99803324,71.4702328,  8:21:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99834757,71.47506201,  8:22:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99838823,71.47840686, 8:22:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99812054,71.48214785,  8:23:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99792131,71.48567515,8:23:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.00057936,71.48625869,  8:24:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.00198499,71.48588187,  8:25:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.00194862,71.48508501,  8:25:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.00185573,71.48523798, 8:25:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.00154239,71.48587094, 8:26:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.00154239,71.48587094,  8:26:00 AM,10_phase_2_uet-Haier-PC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97175337,71.44817531,7/10/2019 8:13,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97182046,71.44799734,7/10/2019 8:13,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97196692,71.44751885,7/10/2019 8:13,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97271732,71.44778709,7/10/2019 8:14,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97478915,71.44923766,7/10/2019 8:14,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97625349,71.45019281,7/10/2019 8:15,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97650928,71.44979833,7/10/2019 8:15,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97759669,71.44667321,7/10/2019 8:16,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97759609,71.44630412,7/10/2019 8:16,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97921781,71.44507696,7/10/2019 8:16,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.97948498,71.44499649,7/10/2019 8:16,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.9825127,71.44685715,7/10/2019 8:17,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.98373823,71.447543,7/10/2019 8:17,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.98456517,71.4487414,7/10/2019 8:17,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.98656528,71.45131075,7/10/2019 8:18,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.98777473,71.45243456,7/10/2019 8:18,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.99228498,71.45651813,7/10/2019 8:18,10_phase_2_uet.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
